AuthorID,Author,Date,Content,Attachments,Reactions,LLM1_Label,LLM1_Score,LLM2_Label,LLM2_Score,LLM3_Label,LLM3_Score
1.05989E+18,_cicadaa_,2024-01-31T20:41:53.0780000+08:00,"Hi, @helpimstreaming. Apologies for the late response. Can you please share more information about this issue you noticed with the events? I compared the set durations of some events from our event page in-world vs. the duration of the events from https://decentraland.org/events/, but everything looks fine.",,,neutral,0.762317479,positive,0.468813628,neutral,0.636300921
1.77549E+17,4minijk.zk,2024-02-01T00:42:37.6020000+08:00,Hello everyone I'm a decentral.games poker player 🙂,,,positive,0.745546222,negative,0.456226677,neutral,0.628841102
5.39828E+17,_.valkyr._,2024-02-01T01:31:29.8480000+08:00,"Welcome to Decentraland's Discord server, @Minijk.zk.👋",,,positive,0.587163746,positive,0.560460806,neutral,0.543222129
3.20633E+17,newbia,2024-02-01T23:39:33.5490000+08:00,evning,,,neutral,0.687868595,positive,0.462544441,neutral,0.368797094
4.13017E+17,dr1719,2024-02-02T01:49:09.7940000+08:00,hi,,,neutral,0.472392023,positive,0.511991799,neutral,0.444212824
1.10388E+18,zigg.,2024-02-02T01:59:53.0930000+08:00,Hello @Rd! Welcome to Decentraland's Discord server. 🫡,,,positive,0.861922741,positive,0.691312373,positive,0.618158519
3.17681E+17,gtrfrost,2024-02-02T07:22:20.6200000+08:00,Hello. Just read the new Manifesto. Regarding the cliffs at the end of the DCL map. PLEASE do not forget that Aetheria extends beyond the normal MAP!!!!!,,,neutral,0.583619952,negative,0.460935026,neutral,0.46462515
1.13533E+18,cathyloom,2024-02-02T08:17:58.0250000+08:00,They mentioned swimming mechanics and wondering if the map is going to extend beyond borders. How is Aetheria already extended?,,,neutral,0.922138155,negative,0.468531579,neutral,0.526971877
3.17681E+17,gtrfrost,2024-02-02T08:19:48.8780000+08:00,If they made the cliffs at a square of 300 x 300 then there will be a cut from some Aetheria lands. I am sure this has been considered in their plans.,,👍 (1),neutral,0.870126188,negative,0.426540673,neutral,0.589541197
1.13533E+18,cathyloom,2024-02-02T08:20:32.0600000+08:00,I would love to purchase a piece of land on the water and build a nice holiday hut,,,positive,0.86648798,positive,0.934226573,positive,0.510663629
